ball,height_cm,x_cm,y_cm,abs_xy_cm
euros_repeat_1,48,2,4,4.47
euros_repeat_2,50,3,1,3.16
euros_repeat_3,55,0,3,3.00
euros_repeat_4,53,0,0,0.00
euros_repeat_5,54,2,1,2.24
euros_repeat_6,55,4,6,7.21
euros_repeat_7,49,8,4,8.94
euros_repeat_8,50,3,2,3.61
euros_repeat_9,50,2,2,2.83
euros_repeat_10,51,5,1,5.10
sondico_repeat_1,47,4,6,7.21
sondico_repeat_2,47,3,4,5.00
sondico_repeat_3,53,6,7,9.22
sondico_repeat_4,45,5,1,5.10
sondico_repeat_5,41,8,6,10.00
sondico_repeat_6,46,6,6,8.49
sondico_repeat_7,48,4,5,6.40
sondico_repeat_8,45,6,5,7.81
sondico_repeat_9,47,10,15,18.03
sondico_repeat_10,56,7,5,8.60
