height,ball,h_max_1,h_max_2,h_max_3,h_max_4,h_max_5,mean_h_max,uncertainty
50,white_ball,458.6217,456.0039,463.8573,461.2395,463.8573,460.71594,3.9267
50,red_ball,479.5641,558.0982,534.538,545.0092,518.8312,527.20814,39.26705
60,white_ball,602.6178,602.6178,600.5236,556.0039,558.6217,584.07696,23.30695
60,red_ball,639.7736,734.0144,624.0668,995.7945,823.0196,763.33378,185.86385
70,white_ball,679.5641,656.0039,669.0929,661.2395,658.6217,664.90442,11.7801
70,red_ball,1080.0877,875.8992,755.4804,807.8364,773.805,858.62174,162.30365
80,white_ball,763.8573,763.8573,839.7736,745.5327,769.0929,776.42276,47.12045
80,red_ball,923.5432,871.1872,842.3914,1051.8154,845.0092,906.78928,104.712
90,white_ball,861.2395,882.1819,916.2134,848.1505,939.7736,889.51178,45.81155
90,red_ball,994.7474,866.4751,704.1715,790.5589,968.5694,864.90446,145.28795
100,white_ball,974.3285,984.7997,966.4751,969.0929,976.9463,974.3285,9.1623
100,red_ball,1031.9202,1777.9935,1199.4594,969.0929,1126.161,1220.9254,404.4503
110,white_ball,1142.3914,1056.0039,1095.2709,1184.2762,1090.0353,1113.59554,64.13615
110,red_ball,1265.428,1328.2552,1566.4751,1815.1662,1328.2552,1460.71594,274.8691
120,white_ball,1187.4175,1208.3599,1161.2395,1158.6217,1216.2134,1186.3704,28.79585
120,red_ball,1095.7945,1470.1401,1480.6113,1454.4332,2082.7055,1516.73692,493.4555
130,white_ball,1250.7683,1321.449,1290.0353,1305.7421,1290.0353,1291.606,35.34035
130,red_ball,1646.0563,1612.0249,1680.0877,1826.6846,2028.2552,1758.62174,208.11515
140,white_ball,1361.2395,1387.4175,1376.9463,1400.5065,1431.9202,1391.606,35.34035
140,red_ball,2094.2238,2091.606,1866.4751,1523.5432,2075.8992,1930.34946,285.3403
